productidnew_bi_strs,formatcode_bi_txtm,issnnum_en_strs,issnnum_fr_strs
35-001-X,12,0708-6229,0708-6229
35-001-X,8,1480-8668,1480-8668
35-002-X,12,0380-464X,0380-464X
35-003-X,8,1911-5970,1911-5970
35-003-X,12,1203-7419,1203-7419
35-003-X,17,1911-5970,1911-5970
35-006SX,12,1206-341X,1206-341X
35-006-X,8,1481-5362,1481-5362
35-006-X,12,0701-7898,0701-7898
35-007-X,12,1180-5897,1180-5897
35-250-X,12,0835-0078,0835-0078
35-251-X,8,1701-0837,1701-0837
35-251-X,12,0828-9891,0828-9891
36-002-X,12,0829-8653,0829-8653
36-003-X,12,1205-5565,1205-5565
36-003-X,8,1481-5257,1481-5257
36-004-X,12,0380-7037,0380-7037
36-250-X,8,1701-2090,1701-2090
36-250-X,12,0835-0094,0835-0094
36-251-X,12,0575-9412,0575-9412
36-251-X,8,1701-2058,1701-2058
41-001-X,12,0380-7851,0380-7851
41-001-X,8,1481-5338,1481-5338
41-006-X,8,1481-5265,1481-5265
41-006-X,12,0380-0822,0380-0822
41-011-X,8,1481-5346,1481-5346
41-011-X,12,0835-5797,0835-5797
41-019-X,17,1712-980X,1712-980X
41-019-X,8,1712-980X,1712-980X
41-250-X,12,0835-0116,0835-0116
41-250-X,8,1701-2023,1701-2023
41-251-X,12,0835-0124,0835-0124
41-251-X,8,1481-9805,1481-9805
42-250-X,12,0835-0132,0835-0132
42-250-X,8,1701-1868,1701-1868
42-251-X,12,0835-0140,0835-0140
43-003-X,12,0410-5907,0410-5907
43-005-X,12,0380-7061,0380-7061
43-009-X,12,0828-1777,0828-1777
43-009-X,8,1481-5303,1481-5303
43-010-X,12,0825-1339,0825-1339
43-250-X,8,1481-9821,1481-9821
43-250-X,12,0835-0159,0835-0159
44-001-X,8,1481-5311,1481-5311
44-001-X,12,0380-6898,0380-6898
44-003-X,12,0380-7223,0380-7223
44-004-X,8,1481-532X,1481-532X
44-004-X,12,0229-6098,0229-6098
44-250-X,12,0835-0167,0835-0167
45-001-X,12,0380-5786,0380-5786
45-001-X,8,1481-5273,1481-5273
45-002-X,8,1488-7762,1488-7762
45-002-X,12,0380-6847,0380-6847
45-004-X,17,1715-1481,1715-1481
45-004-X,8,1715-1481,1715-1481
45-004-X,12,0380-8629,0380-8629
45-250-X,8,1701-1752,1701-1752
45-250-X,12,0835-0175,0835-0175
46-002-X,17,1481-5354,1481-5354
46-002-X,12,0712-8592,0712-8592
46-002-X,8,1481-5354,1481-5354
46-250-X,8,1481-9848,1481-9848
46-250-X,12,0835-0183,0835-0183
46-504-X,12,0-660-52850-9,0-660-52850-9
47-005-X,12,0706-2664,0706-2664
47-006-X,12,0713-9098,0713-9098
47-007-X,12,0823-0900,0823-0900
47-007-X,8,1481-5281,1481-5281
47-250-X,12,0835-0191,0835-0191
50-002-X,12,0828-2897,0828-2897
50-002-X,8,1209-1162,1209-1162
50-002-X,16,1209-1162,1209-1162
50-002-X,17,1209-1162,1209-1162
50F0002X,3,1499-8327,1499-8327
51-002-X,12,0008-2570,0008-2570
51-004-X,12,0843-493X,0843-493X
51-004-X,17,1480-7483,1480-7483
51-004-X,16,1480-7483,1480-7483
51-004-X,8,1480-7483,1480-7483
51-005-X,12,0701-7928,0701-7928
51-007-X,8,1911-6314,1911-6314
51-007-X,17,1911-6314,1911-6314
51-008-X,8,1911-6330,1911-6330
51-008-X,17,1911-6330,1911-6330
51-203-X,17,1480-7505,1480-7505
51-203-X,12,0701-7928,0701-7928
51-203-X,8,1480-7505,1480-7505
51-204-X,8,1480-8757,1480-8757
51-204-X,12,0703-2692,0703-2692
51-205-X,12,0705-4343,0705-4343
51-205-X,16,1480-7521,1480-7521
51-205-X,8,1480-7521,1480-7521
51-205-X,17,1480-7521,1480-7521
51-206-X,12,0826-6026,0826-6026
51-206-X,8,1209-1243,1209-1243
51-207-X,8,1480-8765,1480-8765
51-207-X,12,0828-8208,0828-8208
51-209-X,17,1916-3509,1916-3509
51-209-X,8,1916-3509,1916-3509
51-210-X,17,1916-3525,1916-3525
51-210-X,8,1916-3525,1916-3525
51-501-X,12,0-660-14789-0,0-660-14789-0
51-502-X,8,0-662-37087-2,0-662-37087-2
51-502-X,17,0-662-37088-0,0-662-37088-0
51F0001P,8,1704-1937,1704-1937
51F0001P,17,1704-1937,1704-1937
51F0010P,8,1705-5628,1705-5628
51F0010P,17,1705-5628,1705-5628
52-001-X,17,1496-8592,1496-8592
52-001-X,8,1496-8592,1496-8592
52-001-X,12,0380-6308,0380-6308
52-003-X,12,0380-5964,0380-5964
52-216-X,8,1209-1316,1209-1316
52-216-X,17,1209-1316,1209-1316
52-216-X,12,0843-4530,0843-4530
52-216-X,16,1209-1314,1209-1314
53-003-X,12,0829-1756,0829-1756
53-215-X,12,0383-5766,0383-5766
53-215-X,8,1209-6407,1209-6407
53-218-X,8,1480-753X,1480-753X
53-218-X,12,0703-654X,0703-654X
53-218-X,17,1480-753X,1480-753X
53-219-X,12,0706-067X,0706-067X
53-219-X,8,1480-8676,1480-8676
53-222-X,12,0829-8947,0829-8947
53-222-X,8,1481-0719,1481-0719
53-223-X,17,1499-318X,1499-318X
53-223-X,8,1499-318X,1499-318X
53F0004X,17,1496-3736,1496-3736
53F0004X,8,1496-3736,1496-3736
53F0007X,8,0-662-33175-3,0-662-33175-3
53M0003X,3,0-660-60614-3,0-660-60614-3
54-205-X,17,1480-8773,1480-8773
54-205-X,12,0835-5533,0835-5533
54-205-X,8,1480-8773,1480-8773
55-001-X,8,1481-5427,1481-5427
55-001-X,12,1488-4763,1488-4763
55-002-X,12,1488-4755,1488-4755
55-002-X,8,1492-0301,1492-0301
55-201-X,12,1481-4226,1481-4226
55-201-X,8,1488-7754,1488-7754
56-001-X,17,1492-4455,1492-4455
56-001-X,12,0380-0334,0380-0334
56-001-X,8,1492-4455,1492-4455
56-002-X,8,1488-8025,1488-8025
56-002-X,12,0707-9753,0707-9753
56-203-X,8,1493-8782,1493-8782
56-203-X,12,0380-7843,0380-7843
56-204-X,8,1480-8269,1480-8269
56-204-X,12,0575-9560,0575-9560
56-205-X,8,1480-8277,1480-8277
56-205-X,12,0703-7244,0703-7244
56-207-X,17,1913-0120,1913-0120
56-207-X,8,1913-0120,1913-0120
56-208-X,17,1913-0104,1913-0104
56-208-X,8,1913-0104,1913-0104
56-209-X,8,1918-0500,1918-0500
56-209-X,17,1918-0500,1918-0500
56-504-X,8,0-660-18475-3,0-660-18475-3
56-504-X,12,0-660-18474-5,0-660-18474-5
56-505-X,8,0-662-30214-1,0-662-30214-1
56-506-X,8,0-662-31423-9,0-662-31423-9
56F0003X,8,1701-2007,1701-2007
56F0004M,8,1492-7918,1492-7918
56F0004M,17,1492-7918,1492-7918
56F0009X,8,0-662-32945-7,0-662-32945-7
56M0001X,3,1492-255X,1492-255X
56M0002G,8,1712-3704,1712-3704
57-001-X,8,1488-5670,1488-5670
57-001-X,12,0380-0229,0380-0229
57-003-X,12,0702-0465,0702-0465
57-003-X,8,1708-1580,1708-1580
57-003-X,17,1708-1580,1708-1580
57-202-X,8,1703-2636,1703-2636
57-202-X,17,1703-2636,1703-2636
57-202-X,12,1481-4390,1481-4390
57-204-X,8,1492-3505,1492-3505
57-204-X,12,1206-047X,1206-047X
57-205-X,8,1492-3025,1492-3025
57-205-X,12,1481-4234,1481-4234
57-206-X,12,1206-0488,1206-0488
57-206-X,8,1496-6522,1496-6522
